(1)(1)(1) , 469222
(1)(1)(1)(1) , 358406
(1)(1)(1)(1)(1) , 295639
(1)(1)(1)(1)(1)(1) , 245194
(1)(1)(1)(1)(1)(1)(1) , 213423

(1)(1)(1) , 469222
(1)(1)(2) , 62073
(1)(2)(1) , 51347

(1)(1)(1)(1) , 358406
(1)(1)(1)(2) , 53322
(1/2)(1)(1)(1) , 46026

(1)(1)(1)(1)(1) , 295639
(1)(1)(1)(1)(2) , 27976
(1/2)(1)(1)(1)(1) , 21853

(1)(1)(1)(1)(1)(1) , 245194
(1)(1)(1)(1)(1)(2) , 23965
(1/2)(1)(1)(1)(1)(1) , 19800

(1)(1)(1)(1)(1)(1)(1) , 213423
(1/2)(1)(1)(1)(1)(1)(1) , 10428
(1)(1)(2)(1/2)(1)(1)(1) , 9127

(1)(1)(1)(1)(1)(1)(1)(1) , 187585
(1/2)(1)(1)(1)(1)(1)(1)(1) , 8169
(1)(1)(1)(2)(1/2)(1)(1)(1) , 8032

(1)(1)(1)(1)(1)(1)(1)(1)(1) , 168633
(1)(1)(1)(1)(1)(1)(1)(1)(2) , 7562
(1/2)(1)(1)(1)(1)(1)(1)(1)(1) , 5601

(1)(1)(1)(1)(1)(1)(1)(1)(1)(1) , 152488
(1)(1)(1)(1)(1)(1)(1)(1)(1)(2) , 6837
(1/2)(1)(1)(1)(1)(1)(1)(1)(1)(1) , 5321
(1)(1)(1)(2)(1/2)(1)(1)(1)(1)(1) , 4546

(1)(1)(1)(1)(1)(1)(1)(1)(1)(1)(1) , 139591
(1)(1)(1)(1)(1)(1)(1)(1)(1)(1)(2) , 5038
(1/2)(1)(1)(1)(1)(1)(1)(1)(1)(1)(1) , 3762

(1/2)(1)(2)(1/2)(1)(2) , 7196
(1)(1/2)(2) , 7165

(2)(1/2)(2)(1/2)(2)(1/2)(2)(1/2) , 5232
(2)(1)(1/2)(1)(2) , 5224

(1)(1)(1)(3)(1/3)(1)(1) , 3461
(2)(1)(3/2) , 3496

(1/4)(1)(2) , 2744
(1)(1)(1)(1)(1)(1)(1)(1)(2)(1/2) , 2733

(1/2)(1)(1)(1)(6)(1/3)(3)(1/3)(1) , 4
(1/3)(8)(1/4)(1)(1)(1)(4)(1/2)(3/4)(1/3) , 3
(1/2)(2)(1/2)(1)(1)(2)(3/4)(1/3)(2) , 1
